User Name,Mode of Transport,Distance Traveled (In Miles),Frequency(Per Week),Start Location,End Location,Fuel Type,Fuel Efficiency
Victoria Park,Car,10,5,Mountain View,Santa Clara,gasoline,21
Elizabeth Rodriguez,Bike,5,2,Sunnyvale,Santa Clara,electric,28
Samuel Kumar,Bike,9,4,Santa Clara,Milpitas,electric,22
Zoe Maldonado,Car,1,5,Milpitas,Milpitas,gasoline,24
Natalia Richardson,Car,12,3,Mountain View,Milpitas,electric,20
Madeline Contreras,Car,14,1,Palo Alto,Santa Clara,electric,27
Raelynn Espinoza,Bike,12,3,Mountain View,Milpitas,electric,24
Noah Rojas,Bike,5,3,Sunnyvale,Santa Clara,gasoline,27
Jack Ramos,Bike,3,1,Santa Clara,Santa Clara,gasoline,23
Riley King,Bike,8,2,Redwood City,Palo Alto,electric,29
Naomi Lee,Car,25,2,Sunnyvale,San Francisco,electric,20
Caleb Jones,Car,9,4,Santa Clara,Milpitas,gasoline,21
Peyton Alvarado,Car,18,4,San Carlos,Sunnyvale,gasoline,23
Luca Liu,Car,21,5,Campbell,Palo Alto,gasoline,21
Christian Johnson,Car,8,3,Redwood City,Palo Alto,gasoline,22
Kinsley Gonzales,Car,2,3,North San Jose,Milpitas,gasoline,23
Hunter Yoon,Car,1,1,Milpitas,Milpitas,electric,30
Elias Dixon,Car,23,1,San Jose,Union City,gasoline,23
Owen Guerrero,Car,18,5,San Carlos,Sunnyvale,gasoline,26
Lucas Lo,Car,25,3,Sunnyvale,San Francisco,electric,23
Hunter Mitchell,Car,6,5,Mountain View,Sunnyvale,electric,26
Eliana Bailey,Bike,23,3,San Jose,Union City,gasoline,26
Gabriella Choi,Car,11,1,San Carlos,Palo Alto,electric,28
Evelyn Alvarado,Car,12,4,Mountain View,Milpitas,gasoline,24
Wyatt Chan,Bike,2,1,North San Jose,Milpitas,gasoline,21
Sarah Johnson,Bike,6,4,Mountain View,Sunnyvale,gasoline,26
Brooks Evans,Car,11,2,San Carlos,Palo Alto,gasoline,21
Isaiah Dixon,Car,6,5,Mountain View,Sunnyvale,electric,25
Addison Lo,Bike,23,1,San Jose,Union City,gasoline,25
Nolan Howard,Car,17,4,Mountain House,Livermore,electric,24
Paisley Dominguez,Car,14,5,Palo Alto,Santa Clara,gasoline,23
Eliana Ho,Car,21,5,Campbell,Palo Alto,electric,28
Charles Miller,Car,21,2,Campbell,Palo Alto,electric,27
Mia Jiang,Car,13,4,Redwood City,Los Altos,gasoline,23
Skylar Parker,Car,14,3,Palo Alto,Santa Clara,gasoline,24
Zoey Leung,Car,12,4,Mountain View,Milpitas,electric,28
Austin Moua,Bike,6,1,Mountain View,Sunnyvale,gasoline,30
Christopher Robinson,Car,19,1,Palo Alto,San Francisco,electric,25
Jayden Zhang,Car,22,5,San Jose,Stanford,electric,24
Cora Mejia,Car,3,4,Santa Clara,Santa Clara,electric,27
Julian Harris,Bike,13,3,Redwood City,Los Altos,electric,27
Anthony Espinoza,Car,1,4,Milpitas,Milpitas,gasoline,26
Aubrey Ruiz,Car,2,1,North San Jose,Milpitas,gasoline,30
Piper Tang,Car,6,1,Mountain View,Sunnyvale,electric,30
Colton Delgado,Car,17,1,Mountain House,Livermore,electric,27
Madeline Chung,Bike,23,3,San Jose,Union City,gasoline,27
Ariana Sharma,Car,16,4,Redwood City,San Francisco,gasoline,23
Julian Marquez,Bike,16,3,Redwood City,San Francisco,electric,30
Logan Reyes,Car,16,5,Redwood City,San Francisco,electric,29
Penelope Mai,Car,15,3,Milpitas,Palo Alto,gasoline,20
Ryan Reed,Bike,15,4,Milpitas,Palo Alto,gasoline,23
Grayson Hwang,Bike,8,5,Redwood City,Palo Alto,gasoline,21
Ezra Tan,Car,17,4,Mountain House,Livermore,gasoline,26
David Ha,Car,8,2,Redwood City,Palo Alto,electric,30
Lillian Vang,Car,1,3,Milpitas,Milpitas,gasoline,24
Sofia Zhang,Car,1,1,Milpitas,Milpitas,gasoline,23
Athena Daniels,Bike,23,1,San Jose,Union City,electric,23
Jameson Shin,Car,4,1,San Jose,San Jose,electric,20
Everly Avila,Car,12,5,Mountain View,Milpitas,electric,23
Liam Nelson,Bike,13,2,Redwood City,Los Altos,electric,27
Theodore Lai,Car,23,3,San Jose,Union City,gasoline,22
Caroline Do,Car,4,3,San Jose,San Jose,electric,30
Josiah Ramos,Car,25,3,Sunnyvale,San Francisco,gasoline,30
Colton Alexander,Car,17,4,Mountain House,Livermore,electric,23
Charles Ramos,Car,11,3,San Carlos,Palo Alto,gasoline,25
Ellie Wilson,Car,10,5,Mountain View,Santa Clara,electric,25
Peyton Powell,Car,9,3,Santa Clara,Milpitas,electric,28
Hailey Rojas,Car,15,3,Milpitas,Palo Alto,electric,24
Kai Singh,Car,25,5,Sunnyvale,San Francisco,gasoline,29
Ryan Rivera,Car,6,5,Mountain View,Sunnyvale,gasoline,30
Everett Lu,Car,18,2,San Carlos,Sunnyvale,electric,27
Layla Nunez,Car,21,4,Campbell,Palo Alto,electric,30
Liliana Collins,Car,23,1,San Jose,Union City,gasoline,27
Ezekiel Jenkins,Bike,24,5,Livermore,Milpitas,electric,29
Christopher Wang,Car,24,5,Livermore,Milpitas,electric,27
Savannah Rodriguez,Car,9,2,Santa Clara,Milpitas,electric,26
Lyla Turner,Car,6,4,Mountain View,Sunnyvale,gasoline,26
Adrian Ngo,Car,14,1,Palo Alto,Santa Clara,electric,29
Aria Juarez,Car,18,3,San Carlos,Sunnyvale,gasoline,20
Audrey Ramos,Car,7,5,Santa Clara,San Jose,gasoline,24
Hazel Cho,Bike,7,4,Santa Clara,San Jose,gasoline,26
Iris Chung,Car,18,2,San Carlos,Sunnyvale,electric,22
Thomas Rodriguez,Bike,18,1,San Carlos,Sunnyvale,electric,25
Avery Lo,Car,21,2,Campbell,Palo Alto,gasoline,28
Gabriel Bell,Car,18,5,San Carlos,Sunnyvale,electric,26
Gianna Walker,Car,3,4,Santa Clara,Santa Clara,electric,30
Axel Bailey,Bike,6,4,Mountain View,Sunnyvale,gasoline,29
Scarlett Green,Bike,1,1,Milpitas,Milpitas,gasoline,23
Jackson Wong,Bike,5,1,Sunnyvale,Santa Clara,electric,23
Eva Jimenez,Car,12,2,Mountain View,Milpitas,electric,22
Ian Ma,Car,9,1,Santa Clara,Milpitas,gasoline,28
Luna Castro,Car,1,1,Milpitas,Milpitas,gasoline,27
Nolan Brooks,Car,11,3,San Carlos,Palo Alto,gasoline,22
Jayden Jones,Car,24,1,Livermore,Milpitas,electric,27
Asher Hsu,Car,23,2,San Jose,Union City,electric,29
Greyson Lim,Car,20,2,Campbell,Fremont,electric,24
Chloe Miller,Car,20,1,Campbell,Fremont,gasoline,28
Jaxson Brooks,Bike,23,3,San Jose,Union City,gasoline,27
Jack Perez,Bike,5,3,Sunnyvale,Santa Clara,gasoline,26
Ruby Reed,Car,14,2,Palo Alto,Santa Clara,gasoline,27
Ivy Rojas,Car,8,5,Redwood City,Palo Alto,electric,25
Hudson Wong,Car,10,4,Mountain View,Santa Clara,electric,30
Ryan Yi,Car,9,5,Santa Clara,Milpitas,electric,24
Carter Simmons,Car,3,5,Santa Clara,Santa Clara,gasoline,24
Emilia Xu,Car,17,1,Mountain House,Livermore,gasoline,28
Adam Medina,Car,3,4,Santa Clara,Santa Clara,gasoline,25
Connor Howard,Car,7,3,Santa Clara,San Jose,gasoline,23
Audrey Duong,Car,11,1,San Carlos,Palo Alto,electric,26
Landon Reyes,Bike,9,1,Santa Clara,Milpitas,gasoline,24
Noah Ma,Car,18,1,San Carlos,Sunnyvale,gasoline,29
Lucas Alexander,Car,15,2,Milpitas,Palo Alto,gasoline,24
Henry Vo,Car,17,4,Mountain House,Livermore,gasoline,23
Mila Han,Car,6,2,Mountain View,Sunnyvale,electric,21
Genesis Herrera,Car,7,3,Santa Clara,San Jose,electric,22
Olivia Vazquez,Bike,25,2,Sunnyvale,San Francisco,electric,27
Leilani Ng,Car,1,3,Milpitas,Milpitas,electric,26
Olivia Mendoza,Car,5,4,Sunnyvale,Santa Clara,electric,24
Skylar Xu,Car,15,4,Milpitas,Palo Alto,gasoline,27
Eloise Williams,Car,24,2,Livermore,Milpitas,electric,20
Jackson Maldonado,Car,15,2,Milpitas,Palo Alto,gasoline,20
Christian Harris,Car,21,3,Campbell,Palo Alto,gasoline,20
Penelope Santos,Car,10,3,Mountain View,Santa Clara,electric,20
Nicholas Zhou,Car,15,1,Milpitas,Palo Alto,electric,20
Ayla Garza,Car,24,4,Livermore,Milpitas,electric,29
Carson Mai,Car,6,1,Mountain View,Sunnyvale,electric,30
Luna Lu,Car,11,5,San Carlos,Palo Alto,electric,26
Anthony Ho,Car,21,2,Campbell,Palo Alto,gasoline,21
Clara Lopez,Bike,19,4,Palo Alto,San Francisco,electric,23
Melody Woods,Car,8,5,Redwood City,Palo Alto,gasoline,22
Matthew Simmons,Car,12,2,Mountain View,Milpitas,electric,30
Gabriella Carrillo,Car,8,4,Redwood City,Palo Alto,gasoline,24
Lydia Juarez,Bike,10,2,Mountain View,Santa Clara,electric,27
Ava Carrillo,Car,10,5,Mountain View,Santa Clara,electric,22
Elena Sharma,Car,23,3,San Jose,Union City,gasoline,23
Julia Ahmed,Car,6,2,Mountain View,Sunnyvale,gasoline,29
Iris Vo,Bike,24,2,Livermore,Milpitas,electric,23
Hunter Yi,Bike,17,2,Mountain House,Livermore,electric,24
Valentina Oh,Car,18,1,San Carlos,Sunnyvale,gasoline,20
Kinsley Tran,Car,13,2,Redwood City,Los Altos,electric,25
Christian Hong,Car,3,3,Santa Clara,Santa Clara,electric,27
Amelia Mehta,Car,10,3,Mountain View,Santa Clara,electric,20
Axel Leung,Bike,22,1,San Jose,Stanford,electric,26
Lucas Lam,Car,19,1,Palo Alto,San Francisco,electric,30
Jose Thompson,Car,24,1,Livermore,Milpitas,electric,21
Wesley Duong,Car,8,5,Redwood City,Palo Alto,gasoline,22
Adeline Maldonado,Car,15,1,Milpitas,Palo Alto,gasoline,25
Elias Diaz,Bike,24,4,Livermore,Milpitas,gasoline,22
Wyatt Aguilar,Car,7,1,Santa Clara,San Jose,gasoline,27
Josephine Espinoza,Car,21,4,Campbell,Palo Alto,electric,30
Adeline Lai,Bike,10,2,Mountain View,Santa Clara,gasoline,21
Christopher Vu,Car,2,3,North San Jose,Milpitas,electric,28
Kai Vega,Car,17,4,Mountain House,Livermore,electric,22
Hailey Chin,Car,19,3,Palo Alto,San Francisco,gasoline,24
Eleanor Xi,Car,6,4,Mountain View,Sunnyvale,electric,20
Lily Molina,Car,22,2,San Jose,Stanford,electric,27
Levi Vasquez,Car,19,5,Palo Alto,San Francisco,electric,24
Elijah Washington,Car,16,5,Redwood City,San Francisco,gasoline,27
Gianna Park,Car,21,3,Campbell,Palo Alto,gasoline,23
Melody Leung,Car,20,4,Campbell,Fremont,electric,29
Liliana Valdez,Car,20,2,Campbell,Fremont,electric,20
Ezekiel Kumar,Car,4,5,San Jose,San Jose,gasoline,21
Ruby Rahman,Bike,20,3,Campbell,Fremont,gasoline,23
Natalie Stewart,Car,25,2,Sunnyvale,San Francisco,gasoline,21
Charlotte Lim,Bike,5,3,Sunnyvale,Santa Clara,gasoline,22
Elena Campos,Car,10,3,Mountain View,Santa Clara,gasoline,23
Vivian Lim,Bike,3,5,Santa Clara,Santa Clara,electric,30
Madison Xu,Car,24,4,Livermore,Milpitas,gasoline,23
Ava Aguilar,Car,21,4,Campbell,Palo Alto,gasoline,26
Kayden Patel,Car,19,3,Palo Alto,San Francisco,electric,23
Penelope Desai,Car,9,4,Santa Clara,Milpitas,electric,26
Henry Vang,Car,1,3,Milpitas,Milpitas,gasoline,26
Eliana Turner,Car,21,2,Campbell,Palo Alto,electric,28
Charlotte Tran,Car,21,1,Campbell,Palo Alto,gasoline,24
Everly Coleman,Bike,16,5,Redwood City,San Francisco,gasoline,21
Matthew Harris,Bike,20,2,Campbell,Fremont,gasoline,26
Emilia Barnes,Car,6,5,Mountain View,Sunnyvale,gasoline,21
Sophie Griffin,Bike,20,1,Campbell,Fremont,electric,25
Kai Phillips,Car,7,4,Santa Clara,San Jose,gasoline,25
Dylan Khan,Car,11,2,San Carlos,Palo Alto,electric,24
Nevaeh Clark,Car,4,2,San Jose,San Jose,gasoline,23
Carter Luu,Car,18,1,San Carlos,Sunnyvale,electric,28
Jordan Ngo,Car,7,5,Santa Clara,San Jose,electric,27
Jackson Hu,Car,17,4,Mountain House,Livermore,gasoline,23
Madelyn Kang,Car,5,4,Sunnyvale,Santa Clara,gasoline,24
Everleigh Bell,Car,9,1,Santa Clara,Milpitas,electric,28
Eliana Trinh,Car,20,1,Campbell,Fremont,gasoline,30
Oliver Ford,Car,2,3,North San Jose,Milpitas,electric,25
Ryan Huang,Car,16,4,Redwood City,San Francisco,electric,24
Gabriel Ahmed,Car,9,1,Santa Clara,Milpitas,electric,27
Ivy Rios,Car,23,5,San Jose,Union City,electric,27
Luca Hunter,Car,7,3,Santa Clara,San Jose,gasoline,26
Claire Owens,Car,3,2,Santa Clara,Santa Clara,gasoline,30
Aubrey Maldonado,Car,11,1,San Carlos,Palo Alto,electric,30
Elias Vasquez,Bike,1,3,Milpitas,Milpitas,electric,27
Melody Luu,Bike,11,5,San Carlos,Palo Alto,gasoline,27
Christopher Luu,Bike,11,4,San Carlos,Palo Alto,gasoline,23
James Han,Car,18,3,San Carlos,Sunnyvale,electric,30
Jaxson Ayala,Car,23,1,San Jose,Union City,electric,29
Levi James,Car,24,3,Livermore,Milpitas,gasoline,20
Grayson Carrillo,Car,22,1,San Jose,Stanford,gasoline,23
Maverick Hwang,Bike,11,4,San Carlos,Palo Alto,gasoline,21
Noah Truong,Car,3,4,Santa Clara,Santa Clara,gasoline,26
Willow Guzman,Bike,10,3,Mountain View,Santa Clara,electric,30
Rylee Howard,Bike,15,5,Milpitas,Palo Alto,gasoline,24
Ian Marquez,Car,10,5,Mountain View,Santa Clara,gasoline,23
Layla Owens,Bike,14,2,Palo Alto,Santa Clara,electric,23
Chloe Dixon,Bike,14,4,Palo Alto,Santa Clara,electric,20
Emily Zheng,Bike,22,4,San Jose,Stanford,electric,23
Jayden Rogers,Car,25,5,Sunnyvale,San Francisco,electric,27
Elizabeth Vasquez,Car,15,2,Milpitas,Palo Alto,gasoline,22
Samantha Ford,Car,7,1,Santa Clara,San Jose,electric,30
Thomas Silva,Car,22,5,San Jose,Stanford,gasoline,30
Charlotte Park,Car,22,3,San Jose,Stanford,electric,23
Liam Jimenez,Bike,23,4,San Jose,Union City,gasoline,25
Ivy Liu,Car,18,4,San Carlos,Sunnyvale,electric,25
Jayden Dixon,Car,21,3,Campbell,Palo Alto,electric,28
Nevaeh Butler,Car,15,2,Milpitas,Palo Alto,electric,24
Leonardo Li,Bike,17,2,Mountain House,Livermore,gasoline,29
Kinsley Woods,Car,20,1,Campbell,Fremont,gasoline,30
Abigail Chu,Car,22,1,San Jose,Stanford,electric,27
Ava Xiong,Car,16,3,Redwood City,San Francisco,electric,30
Olivia Marquez,Bike,21,5,Campbell,Palo Alto,gasoline,27
Claire Vazquez,Car,8,2,Redwood City,Palo Alto,electric,29
Christian Castro,Car,16,1,Redwood City,San Francisco,electric,27
Mason Oh,Car,18,5,San Carlos,Sunnyvale,electric,26
Violet Santiago,Car,8,1,Redwood City,Palo Alto,gasoline,26
Lily Rios,Car,21,5,Campbell,Palo Alto,electric,29
Kinsley Stewart,Bike,12,3,Mountain View,Milpitas,gasoline,20
Aria Molina,Bike,1,2,Milpitas,Milpitas,gasoline,24
James Cheng,Car,14,2,Palo Alto,Santa Clara,gasoline,26
Mila Vang,Car,6,5,Mountain View,Sunnyvale,electric,22
Alice Liu,Car,18,1,San Carlos,Sunnyvale,electric,25
Delilah Gonzalez,Bike,3,1,Santa Clara,Santa Clara,gasoline,28
Samuel Tang,Bike,7,3,Santa Clara,San Jose,electric,26
Serenity Gray,Car,22,1,San Jose,Stanford,electric,30
Benjamin Estrada,Bike,7,1,Santa Clara,San Jose,gasoline,29
Wesley Han,Car,9,3,Santa Clara,Milpitas,gasoline,23
Nora Herrera,Car,7,5,Santa Clara,San Jose,electric,23
Lincoln Harris,Car,14,4,Palo Alto,Santa Clara,electric,22
Charles Gonzales,Car,6,5,Mountain View,Sunnyvale,gasoline,28
Athena Cheng,Car,18,5,San Carlos,Sunnyvale,gasoline,27
David Garza,Car,6,3,Mountain View,Sunnyvale,gasoline,22
Hunter Doan,Car,19,1,Palo Alto,San Francisco,electric,27
Julian Lam,Car,2,3,North San Jose,Milpitas,electric,29
Sofia Estrada,Car,7,5,Santa Clara,San Jose,electric,24
Jordan Chen,Bike,2,3,North San Jose,Milpitas,gasoline,28
Eloise Huang,Car,24,5,Livermore,Milpitas,gasoline,27
Ivy Mehta,Bike,10,4,Mountain View,Santa Clara,gasoline,26
Eli Castillo,Bike,3,1,Santa Clara,Santa Clara,gasoline,27
Nolan Garcia,Car,25,2,Sunnyvale,San Francisco,electric,25
Alexander Zhu,Bike,1,2,Milpitas,Milpitas,electric,30
Victoria Wu,Bike,20,2,Campbell,Fremont,electric,24
Mateo Jordan,Bike,25,5,Sunnyvale,San Francisco,gasoline,24
Everly Martin,Car,9,5,Santa Clara,Milpitas,gasoline,28
Athena Castro,Bike,7,2,Santa Clara,San Jose,gasoline,25
Josephine White,Bike,16,4,Redwood City,San Francisco,gasoline,23
Nicholas Vo,Bike,20,4,Campbell,Fremont,electric,26
Jackson Sandoval,Car,10,4,Mountain View,Santa Clara,gasoline,24
Olivia Turner,Bike,11,2,San Carlos,Palo Alto,gasoline,29
Cooper Rivera,Bike,16,3,Redwood City,San Francisco,gasoline,24
Hailey Washington,Car,3,4,Santa Clara,Santa Clara,gasoline,23
